epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2799,3.90134,7.25524,0.81769,5.54167,3.35639,0.16336,0.68342,0.1424,0.04823,0.00023,0.02,0.00012,1e-05,2.43693,7.49527,0.69014,17.0653,2.30269,0.0003,0.0003,0.0003
2,24.8828,2.59875,4.25059,0.87725,2.08828,1.96431,0.14955,0.3,0.07752,0.0273,0.03568,0.04,0.00937,0.00142,2.81317,6.61102,0.69782,3.41316,2.60215,0.000613862,0.000613862,0.000613862
3,37.4704,2.41866,3.54553,0.81826,2.03682,1.94091,0.0221,0.02,0.00068,7e-05,0,0,0,0,5.13318,7.33938,0.64812,7.37334,4.28442,0.000921388,0.000921388,0.000921388
4,49.8771,2.27454,2.87318,0.69929,1.9719,1.83957,0.19214,0.04,0.02322,0.00255,0.19214,0.04,0.0222,0.00697,4.57625,6.41601,0.5955,5.12269,4.05984,0.00122258,0.00122258,0.00122258
5,62.2174,2.40948,2.92289,0.58462,2.05708,1.93545,0.00296,0.14,0.00102,0.00026,0.00022,0.04,8e-05,4e-05,4.14743,10.0217,0.28032,inf,15.3843,0.00151743,0.00151743,0.00151743
6,74.4702,2.41742,2.6175,0.52918,2.07016,1.93489,0.04222,0.08,0.01015,0.00267,0.00435,0.1,0.00271,0.00094,3.36976,5.64116,0.19854,15.6355,4.44565,0.00180595,0.00180595,0.00180595
7,86.7446,2.47575,2.76405,0.48057,2.03027,1.9245,0.00068,0.02,0.00043,4e-05,0.00476,0.14,0.00303,0.00094,nan,nan,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,98.913,2.41506,2.51557,0.45908,2.01227,1.89146,0.05399,0.04,0.01447,0.00452,0.05656,0.2,0.03235,0.01235,nan,nan,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,111.145,2.36316,2.36981,0.4457,2.05429,1.87579,0.04037,0.08,0.03709,0.01194,0.14643,0.2,0.1329,0.04574,nan,nan,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,123.492,2.36844,2.49108,0.45061,1.94658,1.83086,0.01511,0.14,0.00679,0.00194,0.02669,0.22,0.01382,0.00649,3.30324,4.52272,0.27715,4.83165,2.95298,0.0018218,0.0018218,0.0018218
